"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","DURATA","Durata della disoccupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",10.164783,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",10.191392,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",8.396963,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",10.583816,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",11.417684,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",10.301491,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",9.951385,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",11.068457,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",9.750847,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",9.911253,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",9.074981,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",9.163328,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",7.710162,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",9.416689,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",10.019654,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",9.460987,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",4.967404,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",5.634168,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",4.716404,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",4.901869,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",4.615194,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",4.896633,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",4.152348,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",4.628156,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",5.525934,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",5.271122,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",7.477037,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",8.226236,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",6.948913,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",7.727118,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",6.998672,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",7.005504,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",5.942892,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",6.925334,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",7.791141,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",7.345894,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",6.0867,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",6.78907,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",5.711899,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",6.169422,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",5.673128,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",5.832298,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",4.943506,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",5.6533,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",6.526007,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",6.194514,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",5.392348,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",6.214628,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",5.305225,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",5.035039,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",5.009782,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",5.187511,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",4.46522,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",5.089192,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",5.788734,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",5.393095,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",7.938624,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",8.80719,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",7.042138,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",8.395312,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",7.498122,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",6.983837,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",5.903193,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",6.913224,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",7.936104,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",7.17145,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",6.52516,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",7.366148,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",6.079196,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",6.53838,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",6.110595,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",5.985402,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",5.104852,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",5.900953,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",6.738309,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",6.183869,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",6.33661,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",7.110881,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",6.607025,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",5.684084,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",5.941656,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",6.495606,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",6.526303,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",6.393667,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",6.806762,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",6.258642,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",9.238419,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",10.053883,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",7.884914,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",8.907579,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",10.105118,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",8.762496,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",7.795584,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",7.882954,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",10.333983,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",9.051722,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",7.64651,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",8.432957,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",7.182757,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",7.145518,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",7.825293,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",7.515081,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",7.101133,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",7.06409,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",8.393192,,
"ITC1","Piemonte","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",7.504664,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",5.811463,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",6.767156,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",6.878901,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",5.052798,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",4.496432,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",6.146223,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",7.217009,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",5.600808,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",5.65145,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",6.143457,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",7.24227,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",6.966623,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",7.136731,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",7.667836,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",7.207306,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",5.465926,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",3.455925,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",5.081012,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",6.013939,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",7.250158,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",6.485692,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",6.861976,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",6.9991,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",6.298657,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",5.760636,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",5.827648,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",5.483506,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",5.352165,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",5.82018,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",6.661434,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",7.353802,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",8.92485,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",6.800039,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",7.33511,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",6.362867,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",7.228735,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",6.515229,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",8.294631,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",6.563667,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",7.527947,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",12.258146,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",15.332031,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",12.308087,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",10.662308,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",10.763848,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",9.594126,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",8.386701,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",12.327314,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",8.101354,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",9.508646,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",9.59674,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",11.840025,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",9.310899,,
"ITC3","Liguria","UNEM_R","tasso di disoccupazione","9","totale","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",8.867423,,
